Timestamp,Gender,Current Level of Studies,Type of Institution,What is your preferred study method ?,How many hours do you study per day?,How many hours do you study per day during examination period?  ,Do you organise your time ?,Do you have a reading plan before exams?  ,Do you take notes in class?  ,Do you attend group study sessions with classmates?  ,How many hours of lectures do you skip per week? ,Do you use internet resources to improve academic performance?  ,What is your current CGPA ?,Number of subjects enrolled previous semester ?,Average carry mark / coursework (%) in previous semester,"On average, how many hours per day do you spend on social media instead of studying?  ",How often does social media distract you from studying?  ,Do you feel that physical exercise or sports affects your available study time?  ,What do you think is your biggest challenge when it comes to managing your study time?
3/14/2026 23:28:08,Female,Bachelor's Degree,Private University,Self-study,3–4 hours,5–7 hours,No,No,Yes,Yes,1–2 hours,Yes,3.00 – 3.49,7 or more subjects,70–79%,5 hours or more,Often,Sometimes,Procrastinating 
3/14/2026 23:28:52,Female,Diploma,Public University,Past year papers,1–2 hours,5–7 hours,No,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,5 – 6 subjects,80-100%,5 hours or more,Often,Never,tiktok hihi
3/14/2026 23:40:52,Female,Bachelor's Degree,Public University,Past year papers,1–2 hours,5–7 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,50–69%,3–4 hours,Sometimes,Sometimes,Discipline 
3/15/2026 0:22:53,Prefer not to say,Diploma,Public University,Self-study,Less than 1 hour,Less than 2 hours,No,No,No,Yes,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,70–79%,5 hours or more,Often,Never,when human need sleep
3/15/2026 5:11:29,Female,Bachelor's Degree,Public University,Self-study,5 hours or more,5–7 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,2.50 – 2.99,5 – 6 subjects,50–69%,3–4 hours,Often,Never,distraction towards social medias and the feeling of sleepiness 
3/15/2026 5:36:27,Female,Bachelor's Degree,Public University,Self-study,Less than 1 hour,5–7 hours,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,7 or more subjects,80-100%,5 hours or more,Always,Never,Procrastination
3/15/2026 5:39:18,Female,Bachelor's Degree,Public University,Self-study,1–2 hours,5–7 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,80-100%,5 hours or more,Always,Sometimes,always easily distracted by the phone
3/15/2026 5:39:27,Female,Bachelor's Degree,Public University,Self-study,Less than 1 hour,5–7 hours,No,Yes,No,Yes,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,50–69%,3–4 hours,Often,Never,procrastinating 
3/15/2026 5:40:26,Female,Bachelor's Degree,Private University,Mind mapping,1–2 hours,2–4 hours,No,Yes,Yes,Yes,3–4 hours,Yes,3.50 – 4.00,1 – 2 subjects,70–79%,3–4 hours,Often,Never,myself 
3/15/2026 5:44:08,Female,Bachelor's Degree,Private University,Past year papers,1–2 hours,2–4 hours,Yes,Yes,Yes,Yes,1–2 hours,Yes,3.50 – 4.00,1 – 2 subjects,60–69%,3–4 hours,Often,Never,phone’s distraction 
3/15/2026 6:04:15,Female,Bachelor's Degree,Public University,Self-study,5 hours or more,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,80-100%,5 hours or more,Often,Sometimes,social media
3/15/2026 8:38:00,Female,Diploma,Public University,Group study,1–2 hours,5–7 hours,Yes,Yes,Yes,No,1–2 hours,Yes,3.00 – 3.49,3 – 4 subjects,80-100%,5 hours or more,Always,Sometimes,"I need to manage my time between studying, personal activities, and staying focused when I have many assignments"
3/15/2026 9:14:22,Female,Bachelor's Degree,Public University,Group study,1–2 hours,5–7 hours,No,No,No,Yes,1–2 hours,Yes,3.00 – 3.49,5 – 6 subjects,60–69%,5 hours or more,Always,Never,Feeling lazy
3/15/2026 10:19:12,Female,Bachelor's Degree,Public University,Group study,1–2 hours,5–7 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,60–69%,5 hours or more,Often,Sometimes,-
3/15/2026 10:29:27,Female,Foundation,Private University,Mind mapping,3–4 hours,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,1 – 2 subjects,80-100%,3–4 hours,Sometimes,Always,when im lazy
